what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669355227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669374203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669379401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669381290
error,log,,,"Internal Error",1437669381335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669409478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669410405
error,log,,,"Internal Error",1437669410451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437669468974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669472782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669482402
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1437669485546
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1437669485562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669486498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669489844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669496225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669497246
error,log,,,"Internal Error",1437669497280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437669498112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669499102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669534611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437669550874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673041097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673047066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673048911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673048938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673073749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673086186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673101817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673115355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673161900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437673190677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673191475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673223606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437673241181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673241897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1437673262360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1437673284204
